Building s0(u)-u table (2^32, int32, 16 GB)...
  2,721,603,628 entries (63.4%), 2.3s
Target hash: ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
Running up to 240 contexts, max_iter=8, K_seeds=4
  (K_seeds=4 → ~3.3× more W9_lo events per compute vs (0,0) start)
 ctx             c0       conv       lo     hi  cons  ver      t
-----------------------------------------------------------------
   0  2,721,593,587      5,755        5      0     0    0    88s
   1  2,721,603,416      1,850        0      0     0    0    87s
   2  2,721,620,529      5,299        5      0     0    0    88s
   3  2,721,653,477     20,006        2      0     0    0    89s
   4  2,721,641,066      5,289        2      0     0    0    87s
   5  2,721,639,670     39,400        2      0     0    0    89s
   6  2,721,587,730     76,010      317      0     0    0    90s
   7  2,721,588,005     55,395       31      0     0    0    89s
   8  2,721,572,142     33,916       10      0     0    0    89s
   9  2,721,587,091     89,282       30      0     0    0    90s
  10  2,721,614,316      4,226        3      0     0    0    88s
  11  2,721,648,307     23,863        8      0     0    0    89s
  12  2,721,634,457     11,512        2      0     0    0    88s
  13  2,721,596,812     77,027       26      0     0    0    90s
  14  2,721,566,997     69,488       33      0     0    0    89s
  15  2,721,620,469      6,862        0      0     0    0    88s
  16  2,721,625,469     17,890        9      0     0    0    89s
  17  2,721,571,302    474,286       10      0     0    0    91s
  18  2,721,581,639     59,777       36      0     0    0    89s
  19  2,721,645,680      5,876        9      0     0    0    88s
  20  2,721,576,033      3,002        1      0     0    0    87s
  21  2,721,567,825     14,355       22      0     0    0    88s
  22  2,721,582,879      8,455        2      0     0    0    88s
  23  2,721,631,036      4,136        5      0     0    0    87s
  24  2,721,597,423    493,088      253      0     0    0    91s
  25  2,721,608,827     59,929       22      0     0    0    89s
  26  2,721,551,197     33,832       11      0     0    0    89s
  27  2,721,661,898     80,401       45      0     0    0    90s
  28  2,721,607,508     37,818       42      0     0    0    89s
  29  2,721,604,860    628,200      205      0     0    0    91s
  30  2,721,646,658     13,566        8      0     0    0    88s
  31  2,721,601,293     34,423      122      0     0    0    89s
  32  2,721,561,333    132,621        7      0     0    0    90s
  33  2,721,623,687     36,306      118      0     0    0    89s
  34  2,721,527,713    294,539       56      0     0    0    90s
  35  2,721,613,443      2,783        0      0     0    0    87s
  36  2,721,642,817    372,594       64      0     0    0    90s
  37  2,721,600,531     21,302       40      0     0    0    88s
  38  2,721,566,697      7,412        9      0     0    0    88s
  39  2,721,589,837    312,964      191      0     0    0    90s
  40  2,721,599,791     66,340       61      0     0    0    89s
  41  2,721,564,142      3,599       12      0     0    0    87s
  42  2,721,592,363     11,702        1      0     0    0    88s
  43  2,721,522,537     56,432       13      0     0    0    89s
  44  2,721,555,775     30,594      153      0     0    0    89s
  45  2,721,555,243     69,926       56      0     0    0    90s
  46  2,721,661,353     14,240       22      0     0    0    88s
  47  2,721,541,800     27,764       16      0     0    0    89s
  48  2,721,683,566      9,351        5      0     0    0    88s
  49  2,721,595,212      5,008        3      0     0    0    88s
  50  2,721,580,883     44,394       25      0     0    0    89s
  51  2,721,645,937      3,819        4      0     0    0    87s
  52  2,721,559,338      1,341       11      0     0    0    87s
  53  2,721,627,501      2,047        2      0     0    0    87s
  54  2,721,577,577     24,902        2      0     0    0    89s
  55  2,721,666,451     31,081       68      0     0    0    89s
  56  2,721,608,876     19,419       14      0     0    0    89s
  57  2,721,612,422    206,646      685      0     0    0    90s
  58  2,721,602,001     22,323       20      0     0    0    89s
  59  2,721,627,675    205,417       48      0     0    0    90s
  60  2,721,648,616     65,888       99      0     0    0    89s
  61  2,721,614,603     10,385       10      0     0    0    88s
  62  2,721,639,276        699        1      0     0    0    86s
  63  2,721,608,483     34,804        4      0     0    0    89s
  64  2,721,593,805      7,576        6      0     0    0    88s
  65  2,721,595,015     75,378       99      0     0    0    90s
  66  2,721,621,397     10,726        1      0     0    0    88s
  67  2,721,529,208     16,851       28      0     0    0    88s
  68  2,721,564,250     10,242       11      0     0    0    88s
  69  2,721,564,707    173,300      323      0     0    0    90s
  70  2,721,566,923     41,439       53      0     0    0    89s
  71  2,721,551,077     82,173        6      0     0    0    89s
  72  2,721,566,535     37,591       38      0     0    0    89s
  73  2,721,529,875      4,703        2      0     0    0    87s
  74  2,721,587,744      9,030        8      0     0    0    88s
  75  2,721,600,530     10,152        0      0     0    0    88s
  76  2,721,555,577      3,321        1      0     0    0    87s
  77  2,721,585,246     14,282        0      0     0    0    88s
  78  2,721,605,363     22,105       22      0     0    0    89s
  79  2,721,608,323      6,704        1      0     0    0    88s
  80  2,721,626,014      5,110       11      0     0    0    88s
  81  2,721,586,659      2,619        1      0     0    0    87s
  82  2,721,658,351     13,376        2      0     0    0    88s

*****************************************************************
*** 19-ROUND SHA-256 PREIMAGE FOUND ***
  hash=ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
  a0=0x38787ca9 a1=0xd5e845bf
  a2=0xd58a5402 a3=0xf341dd81
  msg=['0x3c6ff45c', '0xa5b23f8d', '0xdc6b8089', '0x4f232935', '0x79578e14', '0x9c2da339', '0xb22ec37a', '0x9554191b', '0xe69661f0', '0x49a43b7a', '0xd8c60a2b', '0x88d7588c', '0x6225084d', '0x87c95c4e', '0x23ee573d', '0x8d8fedfa']
  saved → /workspace/code/PREIMAGE_FOUND.txt
  83    605,971,286    122,374      357      1     1    1    20s

Total time: 7373.3s (122.9 min)
